               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087467,            0.059137,                   0,             0.12267,              0.1546,            0.047967,            0.011676,            0.074061,            0.031416,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.075019,            0.056505,                   0,             0.32949,             0.34644,             0.24281,            0.080593,            0.059046,            0.033712,                   0,            0.039822,           0.0064422,           0.0064422
                   2,            0.059165,            0.055716,                   0,             0.55847,             0.56628,              0.5646,             0.23045,             0.04527,            0.029456,                   0,            0.009382,           0.0093357,           0.0093357
                   3,            0.051016,            0.053339,                   0,             0.62416,             0.63323,             0.63556,             0.28777,            0.040747,            0.024972,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.047558,            0.051482,                   0,             0.67742,              0.6684,             0.69727,               0.327,            0.038362,             0.02433,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.044883,             0.05023,                   0,             0.70425,              0.7187,             0.73829,             0.35773,            0.036041,            0.023454,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.043521,            0.048986,                   0,             0.69878,             0.72636,              0.7469,             0.36911,            0.035622,            0.023283,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.042793,            0.048655,                   0,             0.76162,              0.7535,             0.79428,              0.3998,            0.034605,            0.022694,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.041858,            0.047613,                   0,             0.78334,             0.75804,             0.80905,             0.42152,            0.033432,            0.022327,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.041148,            0.047748,                   0,             0.74034,              0.7562,             0.78381,             0.40178,            0.033657,             0.02258,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.040295,            0.047227,                   0,             0.76827,              0.7848,             0.81754,             0.42993,            0.032509,            0.021942,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.040132,            0.046734,                   0,             0.75792,             0.77918,             0.79629,             0.41914,            0.033244,            0.022138,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.039426,             0.04681,                   0,              0.7778,             0.78243,             0.82234,             0.44128,            0.031993,            0.021873,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.038996,            0.045835,                   0,             0.78965,             0.79208,             0.83202,             0.45006,            0.031792,            0.021569,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.038732,            0.045603,                   0,             0.77651,             0.79405,             0.82705,             0.45382,            0.031876,            0.021558,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.03817,             0.04577,                   0,             0.78771,             0.80307,              0.8355,             0.46186,            0.031791,             0.02125,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.038004,            0.045744,                   0,             0.78611,             0.80416,               0.842,             0.46929,            0.030826,            0.021103,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037716,            0.045012,                   0,             0.79333,             0.80648,             0.84129,             0.47049,            0.030592,            0.021256,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.037292,            0.044426,                   0,             0.78404,             0.81458,             0.85004,             0.48023,            0.030262,            0.020813,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.037117,            0.044788,                   0,             0.79385,             0.82508,             0.85585,             0.48844,            0.030037,            0.020726,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.036944,            0.044883,                   0,             0.79313,             0.82555,             0.85548,             0.48897,            0.030048,             0.02064,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.036585,            0.044346,                   0,             0.80645,             0.82338,             0.86218,             0.49714,            0.029828,            0.020591,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.036397,            0.044461,                   0,             0.81135,             0.82512,             0.86581,             0.50341,            0.029316,            0.020547,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.036312,            0.044167,                   0,             0.80766,             0.82848,             0.86782,              0.5057,            0.029195,            0.020475,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.035785,            0.043461,                   0,             0.80731,             0.83283,             0.86421,             0.50652,            0.029245,            0.020383,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.035617,            0.043777,                   0,             0.81029,             0.82992,             0.86984,              0.5076,            0.029122,            0.020328,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.035329,            0.042949,                   0,             0.80838,             0.83954,             0.87335,             0.51544,            0.028921,            0.020231,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.034986,            0.042774,                   0,             0.82007,             0.83718,             0.87432,             0.51638,            0.028801,            0.020046,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.035042,             0.04307,                   0,             0.81815,             0.83926,             0.87804,             0.51936,            0.028645,            0.020066,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.03491,            0.043284,                   0,             0.81475,             0.84376,             0.87824,             0.52015,            0.028572,            0.019957,                   0,             0.00076,             0.00076,             0.00076
